event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-11-17 15:59:11 UTC,view,21401322,2053013561579406073,electronics.clocks,casio,27.46,526208970,67de9f91-e635-489d-a0d2-e1abc122c92c
2019-11-17 06:36:36 UTC,view,12715359,2053013553559896355,,comforser,50.19,514269583,82122393-292e-4043-8be0-4b773f758073
2019-11-06 10:57:39 UTC,view,28722077,2053013565639492569,apparel.shoes,greyder,139.0,512856312,eb2ad4e3-a998-4e54-94a9-efb1e3d49a3b
2019-11-28 05:26:38 UTC,view,1005115,2053013555631882655,electronics.smartphone,apple,916.37,549560534,588fe0f8-6e24-4384-9b7e-c4a97a555e90
2019-11-19 15:16:37 UTC,view,12100513,2053013555816432043,kids.skates,maomaoku,334.63,518643991,d3e65c2f-d4cf-4417-ac4e-c028a1135d8e
2019-11-14 20:21:18 UTC,view,28717817,2053013565069067197,apparel.shoes.keds,nike,102.71,568454273,72709b2e-ff9b-4d9f-861d-560a7162f4ce
2019-10-12 18:51:47 UTC,view,4804409,2053013554658804075,electronics.audio.headphone,elari,66.76,521828161,3058ab45-2cb1-4f7c-8cf7-43e3a9cd2681
2019-10-16 18:09:13 UTC,view,11400666,2053013558458843721,,samsung,19.82,513634883,6fa00a36-3971-4d81-9d44-771908f528c2
2019-10-25 16:37:52 UTC,view,1004958,2053013555631882655,electronics.smartphone,xiaomi,330.91,532496037,06a60e28-a3fa-4945-92d9-98d89facfece
2019-11-16 13:14:41 UTC,view,21411661,2053013561579406073,electronics.clocks,calvinklein,276.97,526628123,ce7a6001-275a-4e1f-9b3d-35fac103425c
2019-10-13 12:41:08 UTC,view,6800659,2053013554222596431,computers.components.hdd,kingston,65.35,512449120,fc37b3a3-3da3-430c-9c07-935f6344327c
2019-10-28 05:07:26 UTC,view,1005142,2053013555631882655,electronics.smartphone,apple,2028.34,534579018,2c648985-93a3-4447-b195-b41ab78f9da5
2019-10-15 13:47:48 UTC,view,16800083,2053013558316237377,furniture.kitchen.table,,715.57,547891571,b1a6ad34-17bc-44b3-ba37-24870a8a4347
2019-10-22 11:15:09 UTC,view,23300400,2053013561956893455,,,10.68,513765053,71137a8a-8394-463b-ac5d-7f08981634d9
2019-10-11 14:44:56 UTC,view,1004785,2053013555631882655,electronics.smartphone,huawei,271.56,549792487,1630d9ea-c509-4673-8ec4-ebfeb7964d62
2019-11-17 07:23:11 UTC,view,1701398,2053013553031414015,computers.peripherals.monitor,acer,272.83,515650597,472b0cbb-b5e2-4383-9d9d-769b2359af2f
2019-10-20 06:05:03 UTC,view,24300319,2053013563248739153,,,2.19,548436175,dc24f5a2-ac1b-4ca2-898c-7d7f5642a8e2
2019-10-22 08:53:57 UTC,view,12703280,2053013553559896355,,nokian,95.45,518285681,c65f4bb7-01fd-4b2a-8f2e-4491bfe324df
2019-10-12 03:22:20 UTC,view,7100182,2053013555464110485,furniture.bedroom.bed,,136.4,519113746,d705f46a-32a0-456b-9b9b-496ba5d37e77
2019-11-18 04:31:36 UTC,view,4804660,2053013554658804075,electronics.audio.headphone,xiaomi,23.32,572202137,56ea4615-23d3-4714-a120-d66426a45a25
2019-11-16 11:57:16 UTC,view,2602038,2053013563970159485,,bosch,408.76,572118600,c1d1f57a-700b-428b-868a-c0a9ed7de6c8
2019-11-15 11:19:57 UTC,view,100002269,2053013557024391671,,domini,728.46,518510522,5387a6a9-2057-41b4-9555-97fa8f07aa58
2019-11-30 04:52:48 UTC,view,34800567,2062461754293617058,,carfashion,89.84,574871522,e1db79de-f225-4d72-b0e3-f528f433baf2
2019-10-11 08:23:28 UTC,view,22700078,2053013556168753601,,stels,180.18,524791376,d45e7188-411d-4516-9abf-c3b1f83991f0
2019-11-14 20:52:56 UTC,view,26202987,2053013563693335403,,,636.78,560746355,60fda82c-ea8b-42d8-bdc9-5019a7e55aac
2019-10-29 10:11:15 UTC,view,26400678,2053013563651392361,,lucente,287.78,545562085,14edf2e2-9ed8-49b5-8253-8da73fe76dcf
2019-11-13 10:02:16 UTC,view,1005160,2053013555631882655,electronics.smartphone,xiaomi,203.03,519460636,267c6a46-6da4-cced-dfd3-c9f7c91b1cf3
2019-11-15 21:20:02 UTC,view,1004173,2053013555631882655,electronics.smartphone,xiaomi,164.22,513109185,6ae07f88-0d03-45d7-878b-8443878336d1
2019-10-07 05:09:52 UTC,purchase,1801766,2053013554415534427,electronics.video.tv,artel,150.43,552664312,5b6e79f8-699f-4cd0-974b-e923c8938227
2019-10-04 21:30:27 UTC,view,15300246,2053013552662315243,,sandisk,11.92,513410975,dfc6db62-8199-4a68-bd7f-4d3c626bba71
2019-10-01 15:01:40 UTC,view,26402502,2053013563651392361,,,396.68,513818528,f4ad2ac1-4b69-40d9-a178-99d811667dd1
2019-11-08 16:02:11 UTC,view,20100182,2053013559473865347,,nika,65.02,547489312,1492325a-8cbd-4038-8740-581ce9cb6e1e
2019-11-16 16:13:57 UTC,view,26900014,2053013564599305123,sport.trainer,kpt,188.14,567374408,aad581ae-24a7-4382-9916-f5d038327305
2019-11-17 09:50:33 UTC,view,44400260,2146660887094624580,apparel.jeans,conceptclub,35.78,572484475,57e778ad-a4f7-469a-b222-13715ddbd1cb
2019-11-17 09:15:28 UTC,view,2601254,2053013563970159485,,darina,232.62,517496965,7f5ed7b3-148b-45ce-b97e-693b8c2578e9
2019-11-15 12:15:19 UTC,view,1480713,2053013561092866779,computers.desktop,pulser,864.86,529444090,0c8e5f25-f569-4087-8091-b44c50c85a5e
2019-10-30 17:39:33 UTC,view,27600405,2053013560111399597,,,78.2,523218069,6517a874-d2c1-4759-907c-f6a5df60dff4
2019-10-31 02:11:48 UTC,view,1005136,2053013555631882655,electronics.smartphone,apple,2012.59,514232667,81293d72-50fa-441f-ab73-51821b083891
2019-11-03 19:16:51 UTC,view,1002544,2053013555631882655,electronics.smartphone,apple,458.12,520380451,8294fc1d-2464-4b9b-b8fb-2ff631e11ab5
2019-10-30 16:47:18 UTC,view,1005161,2053013555631882655,electronics.smartphone,xiaomi,212.43,513014200,09d01cd5-5f00-4b3e-8552-d53355ec040a
2019-11-20 16:17:35 UTC,view,26202532,2053013563693335403,,teosa,65.64,514330453,e84617db-bf0d-4d20-9d45-ed7e9dfcad4e
2019-11-20 07:39:58 UTC,view,1004442,2053013555631882655,electronics.smartphone,xiaomi,136.4,519126963,ffa11478-19a2-4ae7-ad10-2f29cbe80dc9
2019-10-03 06:26:46 UTC,view,28704388,2053013565069067197,apparel.shoes.keds,asics,51.48,514029574,09adf7e8-4eab-41d4-8fbc-739458e8abb8
